Location,Density,Velocity,Pressure,Internal Energy
3.906250e-03,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.171875e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.953125e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
2.734375e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
3.515625e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
4.296875e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
5.078125e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
5.859375e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
6.640625e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
7.421875e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
8.203125e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
8.984375e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
9.765625e-02,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.054688e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.132812e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.210938e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.289062e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.367188e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.445312e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.523438e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.601562e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.679688e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.757812e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.835938e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.914062e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
1.992188e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
2.070312e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
2.148438e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
2.226562e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
2.304688e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
2.382812e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
2.460938e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
2.539062e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
2.617188e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.500000e+00
2.695312e-01,9.784451e-01,2.572684e-02,9.699539e-01,2.478304e+00
2.773438e-01,9.517062e-01,5.827892e-02,9.330482e-01,2.450988e+00
2.851562e-01,9.255551e-01,9.083101e-02,8.973527e-01,2.423823e+00
2.929688e-01,8.999820e-01,1.233831e-01,8.628342e-01,2.396810e+00
3.007812e-01,8.749774e-01,1.559352e-01,8.294602e-01,2.369948e+00
3.085938e-01,8.505316e-01,1.884873e-01,7.971988e-01,2.343237e+00
3.164062e-01,8.266353e-01,2.210393e-01,7.660190e-01,2.316678e+00
3.242188e-01,8.032792e-01,2.535914e-01,7.358903e-01,2.290270e+00
3.320312e-01,7.804540e-01,2.861435e-01,7.067832e-01,2.264013e+00
3.398438e-01,7.581506e-01,3.186956e-01,6.786685e-01,2.237908e+00
3.476562e-01,7.363601e-01,3.512477e-01,6.515178e-01,2.211954e+00
3.554688e-01,7.150735e-01,3.837998e-01,6.253036e-01,2.186152e+00
3.632812e-01,6.942820e-01,4.163518e-01,5.999987e-01,2.160501e+00
3.710938e-01,6.739771e-01,4.489039e-01,5.755766e-01,2.135001e+00
3.789062e-01,6.541499e-01,4.814560e-01,5.520116e-01,2.109653e+00
3.867188e-01,6.347922e-01,5.140081e-01,5.292785e-01,2.084456e+00
3.945312e-01,6.158955e-01,5.465602e-01,5.073526e-01,2.059410e+00
4.023438e-01,5.974515e-01,5.791123e-01,4.862099e-01,2.034516e+00
4.101562e-01,5.794521e-01,6.116643e-01,4.658269e-01,2.009773e+00
4.179688e-01,5.618891e-01,6.442164e-01,4.461808e-01,1.985182e+00
4.257812e-01,5.447546e-01,6.767685e-01,4.272492e-01,1.960742e+00
4.335938e-01,5.280406e-01,7.093206e-01,4.090103e-01,1.936453e+00
4.414062e-01,5.117395e-01,7.418727e-01,3.914430e-01,1.912316e+00
4.492188e-01,4.958434e-01,7.744248e-01,3.745264e-01,1.888330e+00
4.570312e-01,4.803449e-01,8.069768e-01,3.582403e-01,1.864495e+00
4.648438e-01,4.652363e-01,8.395289e-01,3.425650e-01,1.840812e+00
4.726562e-01,4.505103e-01,8.720810e-01,3.274814e-01,1.817280e+00
4.804688e-01,4.361596e-01,9.046331e-01,3.129707e-01,1.793900e+00
4.882812e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
4.960938e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.039062e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.117188e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.195312e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.273438e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.351562e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.429688e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.507812e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.585938e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.664062e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.742188e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.820312e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.898438e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
5.976562e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.054688e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.132812e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.210938e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.289062e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.367188e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.445312e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.523438e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.601562e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.679688e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.757812e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.835938e-01,4.263194e-01,9.274526e-01,3.031302e-01,1.777600e+00
6.914062e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
6.992188e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.070312e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.148438e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.226562e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.304688e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.382812e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.460938e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.539062e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.617188e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.695312e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.773438e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.851562e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
7.929688e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
8.007812e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
8.085938e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
8.164062e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
8.242188e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
8.320312e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
8.398438e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
8.476562e-01,2.655737e-01,9.274526e-01,3.031302e-01,2.853541e+00
8.554688e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
8.632812e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
8.710938e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
8.789062e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
8.867188e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
8.945312e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.023438e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.101562e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.179688e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.257812e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.335938e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.414062e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.492188e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.570312e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.648438e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.726562e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.804688e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.882812e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
9.960938e-01,1.250000e-01,0.000000e+00,1.000000e-01,2.000000e+00
